Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,19.43750,0.78697,5.81250,0.96875,0.36851,0.36851
1,256,18.36719,0.74635,5.68359,0.94727,0.31991,0.31991
2,256,16.12891,0.65065,5.44141,0.90690,0.33574,0.33574
3,256,16.83203,0.68234,5.71094,0.95182,0.32233,0.32233
4,256,17.21875,0.68961,5.73047,0.95508,0.40658,0.40658
5,256,15.75391,0.63783,5.69531,0.94922,0.34541,0.34541
6,256,15.90625,0.64635,5.71094,0.95182,0.35235,0.35235
7,256,15.55859,0.62764,5.45703,0.90951,0.30293,0.30293
8,256,15.05469,0.61029,5.16016,0.86003,0.30553,0.30553
9,256,14.54688,0.58260,4.86328,0.81055,0.30376,0.30376
10,256,13.43750,0.54405,4.53516,0.75586,0.34025,0.34025
11,256,13.19922,0.53635,4.55469,0.75911,0.34731,0.34731
12,256,12.87891,0.51954,4.39453,0.73242,0.34386,0.34386
13,256,10.82031,0.43864,3.89062,0.64844,0.41074,0.41074
14,256,11.57812,0.46370,3.98438,0.66406,0.39549,0.39549
15,256,10.67188,0.43024,3.74219,0.62370,0.43129,0.43129
16,256,10.58594,0.42765,3.76953,0.62826,0.43908,0.43908
17,256,10.80469,0.43704,3.81250,0.63542,0.42702,0.42702
18,256,10.67969,0.43514,3.75781,0.62630,0.43245,0.43245
19,256,10.60938,0.42504,3.70703,0.61784,0.44478,0.44478
20,256,10.13672,0.40866,3.55469,0.59245,0.46499,0.46499
21,256,10.13281,0.40703,3.50391,0.58398,0.46639,0.46639
22,256,9.95703,0.40135,3.50391,0.58398,0.47324,0.47324
23,256,9.74219,0.39764,3.50391,0.58398,0.48373,0.48373
24,256,9.67188,0.38864,3.47266,0.57878,0.48800,0.48800
25,256,9.56641,0.38640,3.37109,0.56185,0.49419,0.49419
26,256,9.59766,0.38553,3.36328,0.56055,0.49292,0.49292
27,256,9.71094,0.39131,3.43750,0.57292,0.49180,0.49180
28,256,9.10156,0.36996,3.25781,0.54297,0.50339,0.50339
29,256,9.23828,0.37374,3.28125,0.54688,0.51053,0.51053
30,256,8.19922,0.33317,2.99219,0.49870,0.55025,0.55025
31,256,8.24219,0.33046,2.98438,0.49740,0.55013,0.55013
32,256,8.31250,0.33496,3.03516,0.50586,0.54798,0.54798
33,256,8.13281,0.33058,2.88281,0.48047,0.55230,0.55230
34,256,8.10938,0.32807,2.92188,0.48698,0.55842,0.55842
