Epoch,Samples,Mean CER,Mean CER (Norm),Mean WER,Mean WER (Norm),Mean BLEU,Mean BLEU (Norm)
0,256,20.30469,0.82091,5.89453,0.98242,0.34980,0.34980
1,256,20.54688,0.83492,5.89062,0.98177,0.42538,0.42538
2,256,16.16406,0.65206,5.43359,0.90560,0.33973,0.33973
3,256,16.39453,0.66461,5.68359,0.94727,0.32649,0.32649
4,256,16.16797,0.64753,5.66406,0.94401,0.35703,0.35703
5,256,15.67578,0.63467,5.66016,0.94336,0.35585,0.35585
6,256,15.92969,0.64730,5.67188,0.94531,0.33834,0.33834
7,256,14.87500,0.60006,5.17969,0.86328,0.32951,0.32951
8,256,14.33203,0.58100,4.93359,0.82227,0.33446,0.33446
9,256,14.47656,0.57979,4.85156,0.80859,0.31312,0.31312
10,256,12.95703,0.52459,4.45312,0.74219,0.35202,0.35202
11,256,11.58984,0.47095,4.05859,0.67643,0.39069,0.39069
12,256,11.30469,0.45604,3.97266,0.66211,0.39898,0.39898
13,256,9.99219,0.40507,3.81250,0.63542,0.43899,0.43899
14,256,10.58594,0.42397,3.73438,0.62240,0.43387,0.43387
15,256,10.85156,0.43935,3.85938,0.64323,0.41401,0.41401
16,256,10.22656,0.41556,3.72656,0.62109,0.43364,0.43364
17,256,11.27344,0.45477,3.98828,0.66471,0.41892,0.41892
18,256,10.10547,0.40966,3.71875,0.61979,0.45163,0.45163
19,256,10.24219,0.41020,3.58594,0.59766,0.46160,0.46160
20,256,10.44141,0.42274,3.76172,0.62695,0.44325,0.44325
21,256,9.57422,0.38905,3.53906,0.58984,0.47063,0.47063
22,256,10.53906,0.42515,3.73438,0.62240,0.44643,0.44643
23,256,9.26953,0.37577,3.44922,0.57487,0.48656,0.48656
24,256,9.48438,0.37985,3.41016,0.56836,0.48166,0.48166
25,256,9.09766,0.36834,3.34375,0.55729,0.50188,0.50188
26,256,8.77344,0.35651,3.30859,0.55143,0.51845,0.51845
27,256,9.22266,0.37205,3.36328,0.56055,0.49920,0.49920
28,256,8.22266,0.33333,3.04688,0.50781,0.53877,0.53877
29,256,8.47266,0.33933,3.09375,0.51562,0.53839,0.53839
30,256,8.10156,0.32801,3.06641,0.51107,0.54379,0.54379
31,256,7.93359,0.32238,2.96094,0.49349,0.56049,0.56049
32,256,7.99219,0.32241,3.03516,0.50586,0.54894,0.54894
33,256,7.98828,0.32383,2.99219,0.49870,0.54633,0.54633
34,256,8.04297,0.32212,2.99609,0.49935,0.55491,0.55491
35,256,7.63281,0.30903,2.83984,0.47331,0.57353,0.57353
36,256,7.70312,0.31302,2.88672,0.48112,0.56378,0.56378
37,256,7.85938,0.31705,2.89062,0.48177,0.57021,0.57021
38,256,7.59375,0.30784,2.82812,0.47135,0.56214,0.56214
39,256,7.10547,0.28457,2.67578,0.44596,0.59254,0.59254
40,256,7.48438,0.30302,2.80078,0.46680,0.57923,0.57923
41,256,6.98828,0.28397,2.69141,0.44857,0.59632,0.59632
42,256,7.63672,0.30807,2.75391,0.45898,0.57864,0.57864
43,256,7.65625,0.31037,2.81250,0.46875,0.57026,0.57026
44,256,6.58203,0.26361,2.57422,0.42904,0.61988,0.61988
45,256,7.31250,0.29606,2.69531,0.44922,0.59080,0.59080
46,256,7.13672,0.29000,2.66016,0.44336,0.58579,0.58579
47,256,7.82422,0.31563,2.83594,0.47266,0.57145,0.57145
48,256,7.03906,0.28535,2.57422,0.42904,0.60672,0.60672
49,256,6.77734,0.27143,2.62500,0.43750,0.60680,0.60680
